小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:m,32,
1,0.5,,Gb:d,43,
1,1,,G:m,32,
1,2,,D:M,3,
1,3,,G:m,32,
1,0,,Gb:d,43,
1,1,,G:m,32,
1,2,,A:d,46,
1,3,,D:V,15,
1,0,,G:m,32,
1,3,,Eb:M,4,
2,0,,A:d,46,
2,0.5,,D:M,3,
2,1,,C:m,25,
2,2,,Gb:d,43,
2,3,,G:m,32,
2,0,,D:M,3,
2,1,,G:m,32,
2,2,,C:M,1,
2,3,,F:M,6,
2,0,,Bb:M,11,
3,1,,G:m,32,
3,2,,C:V,13,
3,0,,F:M,6,
3,2,,Bb:M,11,
3,3,,F:M,6,
3,0,,Bb:M,11,
3,2,,Eb:M,4,
3,3,,G:m,32,
4,0,,C:m,25,
4,1,,F:V,18,
4,2,,Bb:M,11,
4,0,,F:M,6,
4,1,,G:m,32,
4,2,,F:V,18,
4,3,,Bb:M,11,
4,0,,D:V,15,
4,1,,G:m,32,
4,2,,D:M,3,
4,0,,G:m,32,
4,1,,D:M,3,
4,2,,G:m,32,
5,3,,C:m,25,
5,3.5,,G:m,32,
5,0,,A:d,46,
6,1,,D:M,3,
